dest_port,packet_size,time_delta,is_syn,is_ack,is_rst,is_fin,ttl,tcp_window,payload_len
8009,5.10594547390058,0.2673461167640136,0,1,0,0,128,6.931471805599453,4.709530201312334
8009,5.10594547390058,0.0002512616135298726,0,1,0,0,128,6.928537818164665,4.709530201312334
55225,5.10594547390058,0.004165307115565466,0,1,0,0,64,6.910750787961936,4.709530201312334
56475,5.10594547390058,0.00039212167286918566,0,1,0,0,64,6.910750787961936,4.709530201312334
8009,4.007333185232471,0.04043220909112773,0,1,0,0,128,6.934397209928558,0.0
8009,4.007333185232471,0.0001995364419880175,0,1,0,0,128,6.930494765951626,0.0
8001,5.493061443340548,0.2664887880024364,0,0,0,0,1,0.0,0.0
5353,5.5909869805108565,0.2736267337140894,0,0,0,0,255,0.0,0.0
5353,6.028278520230698,0.05634931780779445,0,0,0,0,255,0.0,0.0
15600,4.356708826689592,0.7458293353782752,0,0,0,0,64,0.0,0.0
8001,5.493061443340548,0.41990734525828,0,0,0,0,1,0.0,0.0
443,5.318119993844216,0.3497947210029163,0,0,0,0,128,0.0,0.0
57560,4.290459441148391,0.021658913342238757,0,0,0,0,58,0.0,0.0
443,4.330733340286331,0.007499398878616918,0,0,0,0,128,0.0,0.0
57560,6.75110146893676,0.08024552629559245,0,0,0,0,58,0.0,0.0
57560,4.219507705176107,0.00014757021144458924,0,0,0,0,58,0.0,0.0
57560,5.44673737166631,0.00014757021144458924,0,0,0,0,58,0.0,0.0
443,4.394449154672439,0.00903541431376986,0,0,0,0,128,0.0,0.0
57560,4.219507705176107,0.02232222754448022,0,0,0,0,58,0.0,0.0
443,4.820281565605037,0.37922064937786376,0,1,0,0,128,6.930494765951626,4.248495242049359
53,4.30406509320417,0.0009584600555247652,0,0,0,0,128,0.0,0.0
53,4.30406509320417,0.0001723617775457762,0,0,0,0,128,0.0,0.0
63936,4.110873864173311,0.0009884715670853798,0,1,0,0,87,6.343880434126331,1.9459101490553132
58301,4.59511985013459,0.0038741785557923985,0,0,0,0,64,0.0,0.0
54106,4.927253685157205,0.0010418231415887415,0,0,0,0,64,0.0,0.0
443,7.164720378771857,0.00020525732987936864,0,0,0,0,128,0.0,0.0
443,7.164720378771857,0.00015209948575353998,0,0,0,0,128,0.0,0.0
51595,7.1252830915107115,0.003257209365793282,0,0,0,0,248,0.0,0.0
51595,7.1252830915107115,0.0012921088222083727,0,0,0,0,248,0.0,0.0
51595,7.1252830915107115,0.00020454222068279023,0,0,0,0,248,0.0,0.0
443,7.164720378771857,0.0001556752141383551,0,0,0,0,128,0.0,0.0
51595,7.1252830915107115,0.00015329139663579374,0,0,0,0,248,0.0,0.0
443,4.574710978503383,0.0001203941347815883,0,0,0,0,128,0.0,0.0
51595,7.1252830915107115,0.0001494772768118775,0,0,0,0,248,0.0,0.0
51595,6.840546529288687,0.0003063209530915113,0,0,0,0,248,0.0,0.0
443,5.3981627015177525,0.00015352977864176642,0,0,0,0,128,0.0,0.0
443,7.164720378771857,0.00015448330609739766,0,0,0,0,128,0.0,0.0
443,7.164720378771857,0.0001494772768118775,0,0,0,0,128,0.0,0.0
443,6.249975242259483,0.00013159839621526692,0,0,0,0,128,0.0,0.0
51595,7.3098814858247865,0.0013890151877585899,0,0,0,0,248,0.0,0.0
51595,4.672828834461906,0.0002119316577209468,0,0,0,0,248,0.0,0.0
51595,4.454347296253507,0.0001642569100960714,0,0,0,0,248,0.0,0.0
443,4.48863636973214,0.00015472168781924077,0,0,0,0,128,0.0,0.0
51595,4.454347296253507,0.02512548702636112,0,0,0,0,248,0.0,0.0
443,4.48863636973214,0.0002243267198144074,0,0,0,0,128,0.0,0.0
63936,4.836281906951478,0.011668291336832518,0,1,0,0,87,6.343880434126331,4.276666119016055
443,4.007333185232471,0.05304059109474227,0,1,0,0,128,6.93537044601511,0.0
51595,6.35088571671474,0.09426180246806425,0,0,0,0,248,0.0,0.0
443,4.48863636973214,0.0001542449243187287,0,0,0,0,128,0.0,0.0
51595,4.454347296253507,0.0026814716770823094,0,0,0,0,248,0.0,0.0
8001,5.493061443340548,0.56958496008613,0,0,0,0,1,0.0,0.0
443,4.276666119016055,0.09360025452599006,0,0,0,0,128,0.0,0.0
62329,4.23410650459726,0.04028954994034889,0,0,0,0,58,0.0,0.0
443,7.093404625868766,0.06560987696255408,0,0,0,0,128,0.0,0.0
57560,4.290459441148391,0.021418341578299995,0,0,0,0,58,0.0,0.0
443,4.330733340286331,0.007612268486772776,0,0,0,0,128,0.0,0.0
57560,4.762173934797756,0.021384036136881866,0,0,0,0,58,0.0,0.0
57560,4.174387269895637,0.0003794903623526772,0,0,0,0,58,0.0,0.0
443,4.394449154672439,0.00901060522853981,0,0,0,0,128,0.0,0.0
57560,4.219507705176107,0.02167057878481178,0,0,0,0,58,0.0,0.0
15600,4.356708826689592,0.17251720494178205,0,0,0,0,64,0.0,0.0
8009,5.10594547390058,0.16573066479121704,0,1,0,0,128,6.930494765951626,4.709530201312334
8009,5.10594547390058,0.00024315738553024488,0,1,0,0,128,6.934397209928558,4.709530201312334
55225,5.10594547390058,0.0011292278285599641,0,1,0,0,64,6.910750787961936,4.709530201312334
56475,5.10594547390058,0.0004826811134071895,0,1,0,0,64,6.910750787961936,4.709530201312334
8009,4.007333185232471,0.04279697167925798,0,1,0,0,128,6.934397209928558,0.0
8009,4.007333185232471,0.00019095504878447592,0,1,0,0,128,6.930494765951626,0.0
443,4.276666119016055,0.350728112576517,0,0,0,0,128,0.0,0.0
443,4.276666119016055,0.0001575822640489508,0,0,0,0,128,0.0,0.0
443,4.919980925828125,0.006605693946050116,0,1,0,0,128,6.93537044601511,4.418840607796598
443,4.7535901911063645,0.00035184391842243284,0,1,0,0,128,6.93537044601511,4.127134385045092
63936,4.110873864173311,0.0014013956685023387,0,1,0,0,87,6.343880434126331,1.9459101490553132
63936,4.110873864173311,0.00026341783238343583,0,1,0,0,87,6.343880434126331,1.9459101490553132
62329,4.219507705176107,0.007029326792242436,0,0,0,0,58,0.0,0.0
63936,4.787491742782046,0.04323728823925976,0,1,0,0,87,6.343880434126331,4.189654742026425
443,4.007333185232471,0.04772734262536511,0,1,0,0,128,6.93537044601511,0.0
8001,5.493061443340548,0.5707926897829344,0,0,0,0,1,0.0,0.0
443,5.176149732573829,0.3852552838896389,0,1,0,0,128,6.93537044601511,4.812184355372417
63936,4.110873864173311,0.002362081972675553,0,1,0,0,87,6.343880434126331,1.9459101490553132
